"id","X","tag_plate","location","value","PID","timepoint","PID_timepoint","empty_well"
"Plate_2_G1",102,"Plate_2","G1","HSA0830_G1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G2",110,"Plate_2","G2","HSA0830_G2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G3",118,"Plate_2","G3","HSA0830_G3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G4",126,"Plate_2","G4","HSA0830_G4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G5",134,"Plate_2","G5","HSA0830_G5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G6",142,"Plate_2","G6","HSA0830_G6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G7",150,"Plate_2","G7","HSA0830_G7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G8",158,"Plate_2","G8","HSA0830_G8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_G9",166,"Plate_2","G9","HSA0830_G9","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H10",175,"Plate_2","H10","HSA0830_H10","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H11",183,"Plate_2","H11","HSA0830_H11","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H12",191,"Plate_2","H12","HSA0830_H12","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H1",103,"Plate_2","H1","HSA0830_H1","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H2",111,"Plate_2","H2","HSA0830_H2","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H3",119,"Plate_2","H3","HSA0830_H3","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H4",127,"Plate_2","H4","HSA0830_H4","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H5",135,"Plate_2","H5","HSA0830_H5","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H6",143,"Plate_2","H6","HSA0830_H6","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H7",151,"Plate_2","H7","HSA0830_H7","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H8",159,"Plate_2","H8","HSA0830_H8","HSA0830","HSA","HSA0830",FALSE
"Plate_2_H9",167,"Plate_2","H9","HSA0830_H9","HSA0830","HSA","HSA0830",FALSE
"Plate_3_A10",264,"Plate_3","A10","HSA1365_A10","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A11",272,"Plate_3","A11","HSA1365_A11","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A12",280,"Plate_3","A12","HSA1365_A12","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A1",192,"Plate_3","A1","HSA1365_A1","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A2",200,"Plate_3","A2","HSA1365_A2","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A3",208,"Plate_3","A3","HSA1365_A3","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A4",216,"Plate_3","A4","HSA1365_A4","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A5",224,"Plate_3","A5","HSA1365_A5","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A6",232,"Plate_3","A6","HSA1365_A6","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A7",240,"Plate_3","A7","HSA1365_A7","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A8",248,"Plate_3","A8","HSA1365_A8","HSA1365","HSA","HSA1365",FALSE
"Plate_3_A9",256,"Plate_3","A9","HSA1365_A9","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B10",265,"Plate_3","B10","HSA1365_B10","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B11",273,"Plate_3","B11","HSA1365_B11","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B12",281,"Plate_3","B12","HSA1365_B12","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B1",193,"Plate_3","B1","HSA1365_B1","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B2",201,"Plate_3","B2","HSA1365_B2","HSA1365","HSA","HSA1365",TRUE
"Plate_3_B3",209,"Plate_3","B3","HSA1365_B3","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B4",217,"Plate_3","B4","HSA1365_B4","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B5",225,"Plate_3","B5","HSA1365_B5","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B6",233,"Plate_3","B6","HSA1365_B6","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B7",241,"Plate_3","B7","HSA1365_B7","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B8",249,"Plate_3","B8","HSA1365_B8","HSA1365","HSA","HSA1365",FALSE
"Plate_3_B9",257,"Plate_3","B9","HSA1365_B9","HSA1365","HSA","HSA1365",FALSE
