Sample	Unique Reads	Duplicate Reads
qc | fastqc-novaseq | Plate_1_H3_22NG7YLT3_S152_L008_R2_001	140382.0	465642.0
qc | fastqc-novaseq | Plate_1_H4_22NG7YLT3_S224_L008_R1_001	119770.0	490099.0
qc | fastqc-novaseq | Plate_1_H4_22NG7YLT3_S224_L008_R2_001	121610.0	488259.0
qc | fastqc-novaseq | Plate_1_H5_22NG7YLT3_S296_L008_R1_001	114039.0	448897.0
qc | fastqc-novaseq | Plate_1_H5_22NG7YLT3_S296_L008_R2_001	130336.0	432600.0
qc | fastqc-novaseq | Plate_1_H6_22NG7YLT3_S368_L008_R1_001	172052.0	471390.0
qc | fastqc-novaseq | Plate_1_H6_22NG7YLT3_S368_L008_R2_001	179121.0	464321.0
qc | fastqc-novaseq | Plate_1_H7_22NG7YLT3_S440_L008_R1_001	56535.0	91412.0
qc | fastqc-novaseq | Plate_1_H7_22NG7YLT3_S440_L008_R2_001	61869.0	86078.0
qc | fastqc-novaseq | Plate_1_H8_22NG7YLT3_S507_L008_R1_001	74374.0	126836.0
qc | fastqc-novaseq | Plate_1_H8_22NG7YLT3_S507_L008_R2_001	80269.0	120941.0
qc | fastqc-novaseq | Plate_1_H9_22NG7YLT3_S571_L008_R1_001	85559.0	365580.0
qc | fastqc-novaseq | Plate_1_H9_22NG7YLT3_S571_L008_R2_001	95851.0	355288.0
qc | fastqc-novaseq | Plate_2_A10_22NG7YLT3_S636_L008_R1_001	59323.0	187341.0
qc | fastqc-novaseq | Plate_2_A10_22NG7YLT3_S636_L008_R2_001	78540.0	168124.0
qc | fastqc-novaseq | Plate_2_A11_22NG7YLT3_S700_L008_R1_001	64621.0	181579.0
qc | fastqc-novaseq | Plate_2_A11_22NG7YLT3_S700_L008_R2_001	77488.0	168712.0
qc | fastqc-novaseq | Plate_2_A12_22NG7YLT3_S764_L008_R1_001	55436.0	147801.0
qc | fastqc-novaseq | Plate_2_A12_22NG7YLT3_S764_L008_R2_001	66274.0	136963.0
qc | fastqc-novaseq | Plate_2_A1_22NG7YLT3_S9_L008_R1_001	59584.0	179415.0
